2-alp_1e6_with-3-replace,,,
,naive,KMP-br,KMP-brs
100,18975000,252248000,297332000
200,17786000,228089000,300631000
300,21638000,294054000,413383000
400,18834000,252706000,284854000
500,16943000,225478000,283907000
600,16827000,241906000,418281000
700,19924000,385760000,455977000
800,39210000,295612000,456113000
900,24247000,357095000,401692000
1000,23255000,332210000,376196000
1100,22263000,339077000,415895000
1200,23970000,302313000,410549000
1300,20878000,315863000,426727000
1400,23514000,316193000,417573000
1500,27893000,371461000,440702000
1600,21244000,471999000,507722000
1700,27441000,404382000,533476000
1800,26382000,317979000,458544000
1900,34956000,504500000,668894000
2000,29960000,464647000,436467000
2100,103247000,584510000,1414769000
2200,33218000,902268000,1284778000
2300,27562000,426413000,482106000
2400,25436000,423221000,564284000
2500,32157000,519794000,427836000
2600,25067000,254981000,342248000
2700,23491000,364522000,1164836000
2800,25903000,662598000,408654000
2900,19421000,301403000,302372000
3000,17715000,201791000,250818000
