4-alp_1e6_with-2-replace,,,
,naive,KMP-br,KMP-brs
100,7846000,245283000,381782000
200,9471000,290415000,321722000
300,8783000,293523000,336699000
400,10782000,282252000,317283000
500,7902000,277790000,324758000
600,7051000,250691000,315691000
700,8834000,274521000,368958000
800,9315000,279360000,346771000
900,7294000,240407000,318337000
1000,8214000,239957000,331545000
1100,7934000,247237000,319218000
1200,7382000,245849000,309876000
1300,7357000,249324000,321167000
1400,7296000,252202000,303719000
1500,7855000,244269000,332152000
1600,8813000,252708000,314703000
1700,8447000,259063000,331558000
1800,8009000,235582000,318888000
1900,7040000,253343000,307342000
2000,7403000,246854000,320808000
2100,8755000,254136000,310122000
2200,7032000,254416000,311594000
2300,8344000,242910000,337027000
2400,8919000,237790000,330340000
2500,6533000,243065000,347722000
2600,8663000,261909000,344650000
2700,6483000,236372000,303613000
2800,8782000,254287000,309347000
2900,7205000,250922000,319765000
3000,8672000,236054000,305221000
