4-alp_1e6_with-3-replace,,,
,naive,KMP-br,KMP-brs
100,7185000,1016601000,1278535000
200,7574000,979890000,1305002000
300,9328000,962632000,1281366000
400,8620000,935428000,1246424000
500,9084000,939081000,1223042000
600,8293000,990295000,1239796000
700,8382000,969150000,1295143000
800,7495000,976508000,1259951000
900,9058000,983472000,1274040000
1000,7081000,954593000,1266972000
1100,6730000,975784000,1239312000
1200,6922000,925420000,1231433000
1300,6694000,948997000,1242968000
1400,7528000,948471000,1237825000
1500,8791000,944414000,1270025000
1600,6919000,940919000,1232688000
1700,8805000,972099000,1297573000
1800,7321000,951419000,1237365000
1900,7148000,951244000,1272882000
2000,8779000,954215000,1209422000
2100,8356000,927707000,1202199000
2200,7575000,943877000,1264129000
2300,6702000,943674000,1267379000
2400,7826000,965907000,1234134000
2500,6646000,944574000,1249726000
2600,6519000,966287000,1287223000
2700,6684000,953068000,1199466000
2800,6531000,953195000,1263075000
2900,7659000,980585000,1239906000
3000,7866000,943934000,1219215000
