4-alp_1e5_with-4-replace,,,
,naive,KMP-br,KMP-brs
100,1644000,492323000,630259000
200,835000,489443000,583121000
300,923000,414339000,546281000
400,850000,481898000,556590000
500,863000,412015000,582733000
600,691000,422973000,543323000
700,669000,405929000,521753000
800,756000,410966000,555132000
900,881000,414520000,547555000
1000,742000,405123000,551134000
1100,641000,439469000,541966000
1200,666000,426374000,556565000
1300,719000,422018000,531477000
1400,642000,412438000,572165000
1500,626000,442302000,573300000
1600,670000,422882000,571332000
1700,596000,438263000,556547000
1800,830000,430723000,590021000
1900,703000,427146000,590773000
2000,644000,421019000,562918000
2100,718000,447069000,593439000
2200,705000,424616000,585324000
2300,716000,436874000,570355000
2400,700000,433080000,597013000
2500,757000,411932000,560176000
2600,567000,457323000,594164000
2700,614000,431965000,607922000
2800,554000,452192000,587327000
2900,543000,435150000,585344000
3000,562000,442394000,638965000
