4-alp_1e5_with-2-replace,,,
,naive,KMP-br,KMP-brs
100,953000,32786000,38396000
200,917000,26968000,44340000
300,956000,32245000,43394000
400,904000,32865000,41858000
500,944000,34974000,42297000
600,788000,25602000,37805000
700,836000,29511000,39565000
800,1019000,25508000,40677000
900,742000,31696000,40036000
1000,1263000,29371000,46860000
1100,829000,35730000,42278000
1200,821000,26294000,44033000
1300,951000,37806000,48320000
1400,814000,37888000,44395000
1500,750000,27145000,40412000
1600,728000,32277000,43597000
1700,800000,29500000,46652000
1800,1053000,39683000,47821000
1900,999000,36895000,45330000
2000,757000,34393000,48388000
2100,813000,33279000,45344000
2200,1162000,35306000,49379000
2300,1126000,34394000,58552000
2400,1335000,49291000,60774000
2500,839000,39137000,46591000
2600,747000,31121000,48256000
2700,1080000,29694000,43378000
2800,654000,31577000,42253000
2900,603000,34505000,46442000
3000,667000,32210000,44563000
