2-alp_1e6_with-2-replace,,,
,naive,KMP-br,KMP-brs
100,20718000,281467000,545782000
200,53230000,245824000,282077000
300,26479000,177369000,369164000
400,142655000,212198000,213526000
500,24925000,139962000,181491000
600,23130000,225842000,224823000
700,29000000,151642000,163702000
800,20963000,128993000,176586000
900,25837000,345582000,166128000
1000,17430000,123070000,159802000
1100,16152000,124117000,177793000
1200,24716000,138840000,150247000
1300,22513000,142698000,183345000
1400,20499000,143522000,194390000
1500,15265000,109109000,139178000
1600,18405000,131568000,151979000
1700,17717000,123822000,201042000
1800,127721000,194854000,172045000
1900,17305000,122001000,151729000
2000,17161000,110524000,152400000
2100,17275000,188525000,169667000
2200,23544000,172813000,207337000
2300,24187000,127827000,146653000
2400,22973000,141123000,135513000
2500,20723000,143475000,400333000
2600,33531000,179227000,185766000
2700,19605000,137918000,165576000
2800,18968000,147479000,183552000
2900,15985000,135837000,152617000
3000,16580000,175066000,188592000
