4-alp_1e6_without,,,
,naive,KMP-br,KMP-brs
100,8920000,17371000,22888000
200,8511000,16697000,21803000
300,7939000,14207000,20357000
400,8374000,14957000,19260000
500,8527000,15476000,21513000
600,10620000,16717000,22911000
700,9731000,17421000,20627000
800,8198000,14107000,19715000
900,8558000,16731000,20896000
1000,7779000,14160000,17602000
1100,7141000,14096000,17986000
1200,7378000,15069000,19426000
1300,7581000,15604000,19539000
1400,7691000,15429000,19779000
1500,7710000,14068000,19181000
1600,8391000,14664000,18969000
1700,7352000,14444000,19978000
1800,8496000,16141000,20836000
1900,8124000,13830000,17641000
2000,7833000,14127000,17528000
2100,7199000,13793000,19786000
2200,7326000,14092000,20105000
2300,8677000,15133000,18945000
2400,7364000,14232000,18223000
2500,7091000,14035000,18334000
2600,7936000,16268000,22664000
2700,9027000,16632000,18850000
2800,6896000,13158000,18583000
2900,7301000,16143000,19112000
3000,7780000,14371000,19576000
