4-alp_1e6_with-4-replace,,,
,naive,KMP-br,KMP-brs
100,6997000,3913070000,4922118000
200,9036000,3796074000,4948545000
300,7128000,3761448000,4892702000
400,8500000,3747197000,5380565000
500,9363000,4117543000,5178224000
600,8221000,3900962000,5099030000
700,9039000,4231846000,5137147000
800,7948000,4074429000,5395600000
900,8044000,4048494000,5265247000
1000,8307000,4142549000,5649968000
1100,8207000,4358591000,5522974000
1200,8523000,4250878000,5576467000
1300,8554000,4185147000,5524432000
1400,8165000,4176344000,5569803000
1500,8897000,4126540000,5293584000
1600,8574000,3971760000,5113261000
1700,7826000,3909681000,5068973000
1800,7329000,3798753000,5035610000
1900,8174000,3776278000,5074986000
2000,7171000,3808045000,5057252000
2100,8049000,3735980000,4773218000
2200,6640000,3810207000,4963489000
2300,6605000,3713529000,4784352000
2400,6842000,3763836000,4918359000
2500,6629000,3768768000,4993622000
2600,7647000,3730773000,4774292000
2700,8397000,3738004000,5043372000
2800,6727000,3715165000,4967208000
2900,7004000,3857671000,4923885000
3000,7658000,3771325000,5065728000
