4-alp_1e5_with-1-replace,,,
,naive,KMP-br,KMP-brs
100,1255000,7591000,13454000
200,921000,6272000,8620000
300,856000,6600000,8989000
400,809000,10259000,9480000
500,833000,6664000,8979000
600,895000,7667000,12204000
700,1404000,8910000,10059000
800,885000,7049000,8883000
900,813000,7428000,13011000
1000,871000,7412000,9014000
1100,800000,6659000,10475000
1200,1263000,8895000,8886000
1300,813000,6643000,8917000
1400,823000,7626000,14482000
1500,814000,6720000,8605000
1600,745000,6764000,9253000
1700,1230000,10616000,9872000
1800,761000,7100000,11370000
1900,799000,10414000,12340000
2000,826000,7514000,10139000
2100,815000,7394000,15853000
2200,807000,12253000,11186000
2300,837000,11799000,12977000
2400,873000,8391000,12890000
2500,1345000,12908000,11479000
2600,766000,7731000,12020000
2700,1091000,9162000,9354000
2800,676000,7075000,10083000
2900,1199000,9483000,9478000
3000,694000,7131000,10063000
