4-alp_1e6_with-1-replace,,,
,naive,KMP-br,KMP-brs
100,8404000,69615000,92944000
200,11744000,70498000,77831000
300,7920000,60382000,80875000
400,7341000,56693000,78411000
500,7363000,62281000,87663000
600,8344000,60137000,74591000
700,7570000,67270000,89878000
800,7281000,55961000,78047000
900,7801000,60320000,83586000
1000,8803000,77071000,114680000
1100,10234000,70122000,80150000
1200,7507000,59512000,100001000
1300,12244000,65631000,90166000
1400,8995000,60758000,79426000
1500,8064000,59101000,81710000
1600,9121000,60348000,81371000
1700,7829000,65067000,84933000
1800,8030000,60495000,94339000
1900,8866000,57063000,83987000
2000,10708000,61566000,79604000
2100,8242000,58596000,95472000
2200,8751000,71987000,86954000
2300,8332000,74323000,102923000
2400,7753000,60525000,81740000
2500,8164000,58558000,89324000
2600,7781000,60649000,83257000
2700,7861000,66656000,77795000
2800,8710000,70698000,87267000
2900,8339000,68484000,77233000
3000,7459000,54647000,73258000
